title,author,my_rating,date_started,date_completed,pages,published,original_lang,main_char_gender,type,gr_avg_rating,gr_raters,date_started_txt,date_completed_txt,year_start,year_end,format,origins,publisher,weight,dimensions,width,isbn,spine
The Remains of the Day,Kazuo Ishiguro,5,20190113,20190118,258,1989,English,Male,Fiction,4.12,192136,"Jan 13, 2019","Jan 18, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Bought in store,Faber and Faber,212,198 x 126 x 16 mm,16,9780571258246,Beige
Moby-Dick,Herman Melville,5,20190118,20190206,684,1851,English,Male,Fiction,3.5,469494,"Jan 18, 2019","Feb 6, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Bought in store,Penguin Classics,490,198 x 129 x 31 mm,31,9780141198958,Green
Help,Simon Amstell,3,20190207,20190207,224,2017,English,None,Non-Fiction,3.95,1657,"Feb 7, 2019","Feb 7, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Birthday gift from friend,Vintage Publishing,195,198 x 129 x 17 mm,17,9781784705695,Grey
Glow,Ned Beauman,3,20190208,20190213,258,2014,English,Male,Fiction,3.32,1644,"Feb 8, 2019","Feb 13, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Bought in store,Hodder & Stoughton,178,198 x 133 x 17 mm,17,9781444765533,White
A Maggot,John Fowles,5,20190214,20190227,464,1985,English,Male,Fiction,3.57,2776,"Feb 14, 2019","Feb 27, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Amazon order,Vintage Publishing,319,198 x 129 x 29 mm,29,9780099480419,Red
No Plot? No Problem!,Chris Baty,4,20190316,20190316,200,2004,English,None,Non-Fiction,3.84,6645,"Mar 16, 2019","Mar 16, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Amazon order,Chronicle Books,270,147 x 205 x 13 mm,13,9781452124773,Blue
Hawthorn & Child,Keith Ridgway,1,20190318,20190320,288,2012,English,Male,Fiction,3.37,1118,"Mar 18, 2019","Mar 20, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Lent from home,Granta Books,205,198 x 129 x 18 mm,18,9781847085276,Black
4 3 2 1,Paul Auster,5,20190321,20190410,1070,2017,English,Male,Fiction,3.86,20059,"Mar 21, 2019","Apr 10, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Bought in store,Faber & Faber,766,198 x 129 x 45 mm,45,9780571324651,Red
Orlando,Virginia Woolf,4,20190410,20190414,272,1928,English,Other,Fiction,3.87,3630,"Apr 10, 2019","Apr 14, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Bought in store,Vintage Publishing,199,178 x 129 x 17 mm,17,9781784870850,Blue
Sarah,J.T. LeRoy,3,20190413,20190414,166,2000,English,Other,Fiction,3.47,3716,"Apr 13, 2019","Apr 14, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Lent from home,Bloomsbury Publishing PLC,147,198 x 129 x 11 mm,11,9780747549284,Black
Seeing Voices: A Journey Into the World of the Deaf,Oliver Sacks,5,20190410,20190426,208,1989,English,None,Non-Fiction,4.06,4305,"Apr 10, 2019","Apr 26, 2019","Jan 01, 2019","Dec 31, 2019",Paperback,Amazon order,Pan Macmillan,162,197 x 132 x 15 mm,15,9780330523646,Teal
